Zoho Portal GL Architecture Mapping Matrix
This master hierarchy report outlines the structural integration paths from the Zoho Client Portal mapping matrix down to General Ledger (GL) Codes. Data configurations are categorized systematically using a strict hierarchy order: Funding Commitment Type → Placement Type → Funding Type → Support Type.
Funding Commitment Category: CSN Youth
No Placement Rules Applicable (Flat Account Profile)

Funding Commitment Category: MYSLP In Year Transfer OR Regional Transfer
Placement Environment: Group Home

Placement Environment: Host Family

No Placement Rules Applicable (Flat Account Profile)

Placement Environment: Specialized Accommodation

Placement Environment: Supported Independent Living (SIL)

Funding Commitment Category: Unspecified / Global System Allocations
No Placement Rules Applicable (Flat Account Profile)

Funding Commitment Category: None of the Above
No Placement Rules Applicable (Flat Account Profile)

Funding Type | Plan Type | Support Type | GL Code | Account Name Mapping
Temporary Funding  Allocation- Community Enhancement (CEF) |  | Prescription Medication/Supplies | 5246.0 | Prescription Medication/Supplies-CEF
Temporary Funding Allocation - Complex Special Needs (CSN) |  | Daily Living Support | 5015.0 | Daily Living Support-CSN
Temporary Funding Allocation - Complex Special Needs (CSN) |  | Individualized Staffing | 5045.0 | Individualized Staffing-CSN
Temporary Funding Allocation - Complex Special Needs (CSN) |  | In Home Respite | 5114.0 | In Home Respite -CSN
Temporary Funding Allocation - Complex Special Needs (CSN) |  | Out of Home Respite | 5144.0 | Out of Home Respite -CSN
Temporary Funding Allocation - Complex Special Needs (CSN) |  | Nursing Care | 5210.0 | Nursing Care-CSN
Temporary Funding Allocation - Complex Special Needs (CSN) |  | Clinical/Behaviour Supports | 5225.0 | Clinical/Behaviour Supports-CSN
Temporary Funding Allocation - Complex Special Needs (CSN) |  | Assessments | 5230.0 | Assessments-CSN
Temporary Funding Allocation - Complex Special Needs (CSN) |  | Prescription Medication/Supplies | 5245.0 | Prescription Medication/Supplies-CSN
Temporary Funding Allocation - Complex Special Needs (CSN) |  | Structured Community Activities | 5525.0 | Structured Community Activities-CSN
Temporary Funding Allocation - Complex Special Needs (CSN) |  | Structured Seasonal Programs | 5545.0 | Structured Seasonal Programs-CSN
Temporary Funding Allocation - Complex Special Needs (CSN) |  | Client Travel | 5615.0 | Client Travel-CSN
Temporary Funding Allocation - Complex Special Needs (CSN) |  | Parent Accommodation (Standard Room Only) | 5635.0 | Parent Accommodation (Standard Room Only)-CSN
Temporary Funding Allocation - Complex Special Needs (CSN) |  | Parent Travel | 5641.0 | Parent Travel-CSN
Temporary Funding Allocation - Complex Special Needs (CSN) |  | Support Worker Travel | 5642.0 | Support Worker Travel-CSN
Temporary Funding Allocation - Complex Special Needs (CSN) | Unrestricted | Unrestricted Planning Accounts | 5935.0 | Unrestricted Plan-CSN
Funding Type | Plan Type | Support Type | GL Code | Account Name Mapping
MCCSS Fiscal Residential Funding Allocation |  | Daily Living Support | 5011.0 | Daily Living Support-GH
MCCSS Fiscal Residential Funding Allocation |  | Individualized Staffing | 5041.0 | Individualized Staffing-GH
MCCSS Fiscal Residential Funding Allocation |  | Clinical/Behaviour Supports | 5221.0 | Clinical/Behaviour Supports-GH
MCCSS Fiscal Residential Funding Allocation |  | Prescription Medication/Supplies | 5241.0 | Prescription Medication/Supplies-GH
MCCSS Fiscal Residential Funding Allocation |  | Client Travel | 5611.0 | Client Travel-GH
Funding Type | Plan Type | Support Type | GL Code | Account Name Mapping
MCCSS Fiscal Residential Funding Allocation |  | Daily Living Support | 5012.0 | Daily Living Support-HF
MCCSS Fiscal Residential Funding Allocation |  | Individualized Staffing | 5042.0 | Individualized Staffing-HF
MCCSS Fiscal Residential Funding Allocation |  | Clinical/Behaviour Supports | 5222.0 | Clinical/Behaviour Supports-HF
MCCSS Fiscal Residential Funding Allocation |  | Prescription Medication/Supplies | 5242.0 | Prescription Medication/Supplies-HF
MCCSS Fiscal Residential Funding Allocation |  | Client Travel | 5612.0 | Client Travel-HF
Funding Type | Plan Type | Support Type | GL Code | Account Name Mapping
MCCSS Fiscal Community Participation Funding Allocation |  | Centre Based Day Programming | 5511.0 | Centre Based Day Programming- CP (Perm)
MCCSS Fiscal Community Participation Funding Allocation |  | Structured Community Activities | 5521.0 | Structured Community Activities-CP (Perm)
MCCSS Fiscal Community Participation Funding Allocation |  | Structured Seasonal Programs | 5541.0 | Structured Seasonal Programs-CP (Perm)
MCCSS Fiscal Community Participation Funding Allocation |  | Client Travel | 5616.0 | Client Travel-CP (Perm)
MCCSS Fiscal Community Participation Funding Allocation | Unrestricted |  | 5910.0 | Unrestricted - MCCSS- Community Participation
MCCSS Fiscal Residential Funding Allocation |  | Prescription Medication/Supplies | 5240.0 | Prescription Medication/Supplies
MCCSS Fiscal Residential Funding Allocation | Unrestricted |  | 5905.0 | Unrestricted-MCCSS- Residential
Passport Program |  | Daily Living Support | 5016.0 | Daily Living Support-Passport
Passport Program |  | Individualized Staffing | 5046.0 | Individualized Staffing-Passport
Passport Program |  | In Home Respite | 5120.0 | In Home Respite -Passport
Passport Program |  | Out of Home Respite | 5150.0 | Out of Home Respite -Passport
Passport Program |  | Centre Based Day Programming | 5517.0 | Centre Based Day Programming-Passport
Passport Program |  | Structured Community Activities | 5531.0 | Structured Community Activities-Passport
Passport Program |  | Structured Seasonal Programs | 5551.0 | Structured Seasonal Programs-Passport
Passport Program |  | Live Events, Admissions & Tickets | 5561.0 | Live Events & Admissions-Passport
Passport Program |  | Client Travel | 5617.0 | Client Travel-Passport Program
Passport Program | Unrestricted | Unrestricted Planning Accounts | 5965.0 | Unrestricted - Passport
Funding Type | Plan Type | Support Type | GL Code | Account Name Mapping
MCCSS Fiscal Residential Funding Allocation |  | Daily Living Support | 5013.0 | Daily Living Support-SA
MCCSS Fiscal Residential Funding Allocation |  | Individualized Staffing | 5043.0 | Individualized Staffing-SA
MCCSS Fiscal Residential Funding Allocation |  | Clinical/Behaviour Supports | 5223.0 | Clinical/Behaviour Supports-SA
MCCSS Fiscal Residential Funding Allocation |  | Prescription Medication/Supplies | 5243.0 | Prescription Medication/Supplies-SA
MCCSS Fiscal Residential Funding Allocation |  | Client Travel | 5613.0 | Client Travel-SA
